date,station,temperature,rainfall,pressure,windspeed,wind_beaufort
1987-05-01,Beijing,13.65,6,1016.0250000000001,4,Light
1987-05-02,Beijing,12.725,0.1,1017.9000000000001,4.5,Light
1987-05-03,Beijing,16.975,0,1017.9,7.5,Light
1987-05-04,Beijing,16.95,0,1016.45,8,Light
1987-05-05,Beijing,19.75,0,1012.1,3.5,Light
1987-05-06,Beijing,21.025,0,1007.0500000000001,9.5,Light
1987-05-07,Beijing,21.525,0,1009.6,5.5,Light
1987-05-08,Beijing,21.599999999999998,0,1011.5,8.5,Light
1987-05-09,Beijing,21.200000000000003,0,1015.125,4.5,Light
1987-05-10,Beijing,20.65,0,1015.0500000000001,6.5,Light
1987-05-11,Beijing,21.624999999999996,0,1010.6499999999999,5.5,Light
1987-05-12,Beijing,22.1,0,1013.925,6,Light
1987-05-13,Beijing,17.575,0,1019.025,9,Light
1987-05-14,Beijing,20.3,0,1008.225,7.5,Light
1987-05-15,Beijing,21.325,4,1002.6999999999999,6.5,Light
1987-05-16,Beijing,15.6,0,1012.125,10,Light
1987-05-17,Beijing,17.625,0,1008.35,5,Light
1987-05-18,Beijing,15.799999999999999,0,1004.575,2.5,Light
1987-05-19,Beijing,22.174999999999997,0,1012.3,6,Light
1987-05-20,Beijing,22.05,0,1009.025,4.5,Light
1987-05-21,Beijing,23.8,6,1003.7,5,Light
1987-05-22,Beijing,18.95,1,1000.675,3,Light
1987-05-23,Beijing,21.2,0,1004.975,6.5,Light
1987-05-24,Beijing,19.325,20.7,1010.4749999999999,3,Light
1987-05-25,Beijing,20.65,0,1015.0999999999999,4,Light
1987-05-26,Beijing,23.025,0,1016.7,6.5,Light
1987-05-27,Beijing,22.775,0,1016.825,4.5,Light
1987-05-28,Beijing,21.1,0,1011.275,4,Light
1987-05-29,Beijing,23.375,0,1007.75,5,Light
1987-05-30,Beijing,20.775,4,1009.125,3,Light
1987-05-31,Beijing,18.9,23.7,1008.75,3,Light
1987-06-01,Beijing,20.233333333333334,0,1006.4,3.3333333333333335,Light
1987-06-02,Beijing,21.725,0,1000.075,2,Light
1987-06-03,Beijing,24.7,0,1001.45,5,Light
1987-06-04,Beijing,27.724999999999998,0,1001.3499999999999,3.5,Light
1987-06-05,Beijing,16.05,31,1014.4,12.5,Moderate
1987-06-06,Beijing,17.875,0,1015.3000000000001,5.5,Light
1987-06-07,Beijing,23.4,0,1010.9499999999999,5,Light
1987-06-08,Beijing,24.275000000000002,0,1008.825,4,Light
1987-06-09,Beijing,24.924999999999997,0,1007.2750000000001,4.5,Light
1987-06-10,Beijing,24.65,0,1009.05,6,Light
1987-06-11,Beijing,22.8,0,1008.875,3.5,Light
1987-06-12,Beijing,25.95,0,1006.625,7,Light
1987-06-13,Beijing,24.15,0,1009.5999999999999,7.5,Light
1987-06-14,Beijing,23.025,0,1010,6.5,Light
1987-06-15,Beijing,24.975,0,1008.475,4.5,Light
1987-06-16,Beijing,24.6,0,1008.025,5,Light
1987-06-17,Beijing,24.6,9,1007.875,4,Light
1987-06-18,Beijing,20.925,14.3,1008.55,4,Light
1987-06-19,Beijing,24.85,0,1006.025,0.5,Light
1987-06-20,Beijing,26.325000000000003,0,1008.175,5.5,Light
1987-06-21,Beijing,26.125,0,1009.725,6,Light
1987-06-22,Beijing,22.299999999999997,15.7,1004.8,3.5,Light
1987-06-23,Beijing,20.6,19,1003.2249999999999,3.5,Light
1987-06-24,Beijing,23.525,0,1004.1250000000001,5,Light
1987-06-25,Beijing,23.45,0,1004.975,0.5,Light
1987-06-26,Beijing,24.1,2,1007.225,4.5,Light
1987-06-27,Beijing,23.875,0.3,1010.425,6.5,Light
1987-06-28,Beijing,22.374999999999996,1,1006.575,3.5,Light
1987-06-29,Beijing,23.225,0,1004,5,Light
1987-06-30,Beijing,22.95,0,1007.9750000000001,6,Light
1987-07-01,Beijing,23.766666666666666,0,1007.3333333333334,4,Light
1987-07-02,Beijing,22.099999999999998,0.2,1004.0666666666666,3.3333333333333335,Light
1987-07-03,Beijing,26,0,1000.575,7,Light
1987-07-04,Beijing,26.4,1,998.7750000000001,4,Light
1987-07-05,Beijing,25.75,0,1000.4,6,Light
1987-07-06,Beijing,25.675,0,1003.9749999999999,3.5,Light
1987-07-07,Beijing,26.099999999999998,0,1002.9666666666666,3.3333333333333335,Light
1987-07-08,Beijing,27.150000000000002,0.1,1004.875,3,Light
1987-07-09,Beijing,24.475,12.1,1004.975,4,Light
1987-07-10,Beijing,25.425,13.6,996.5749999999999,3,Light
1987-07-11,Beijing,29.825000000000003,0,997.9999999999999,2.5,Light
1987-07-12,Beijing,27.099999999999998,0.1,1002.1750000000001,8,Light
1987-07-13,Beijing,26.900000000000002,0.3,1006.2666666666668,6,Light
1987-07-14,Beijing,23.4,53,1007.575,4.5,Light
1987-07-15,Beijing,21.625,2.3,1006.4250000000001,4,Light
1987-07-16,Beijing,26.450000000000003,0,1002.625,4.5,Light
1987-07-17,Beijing,28.25,0,1002.9,6,Light
1987-07-18,Beijing,27.549999999999997,0,1002.2750000000001,3,Light
1987-07-19,Beijing,28.1,0,999.525,5.5,Light
1987-07-20,Beijing,23.875,22.5,999,2.5,Light
1987-07-21,Beijing,24.125,2,996.2249999999999,4,Light
1987-07-22,Beijing,27.63333333333333,0,998.9333333333333,4.666666666666667,Light
1987-07-23,Beijing,27.574999999999996,0,1003.1999999999999,6,Light
1987-07-24,Beijing,28.35,0,1003.1999999999999,6.5,Light
1987-07-25,Beijing,29.325,0,1005.0999999999999,3,Light
1987-07-26,Beijing,28.875,0,1007.9250000000001,5.5,Light
1987-07-27,Beijing,28.225,0,1007.5250000000001,3,Light
1987-07-28,Beijing,29.325000000000003,0,1004.875,2.5,Light
1987-07-29,Beijing,28.224999999999998,0,1001.075,4.5,Light
1987-07-30,Beijing,29.65,0,997.225,1.5,Light
1987-07-31,Beijing,30.75,0,997.7,5,Light
1987-08-01,Beijing,24.1,0,1001.5,3.5,Light
1987-08-02,Beijing,27.35,0.1,1002.7,2,Light
1987-08-03,Beijing,21.55,26,1005.05,6,Light
1987-08-04,Beijing,27.825,0,1003.1750000000001,3.5,Light
1987-08-05,Beijing,28.95,0,1005.175,3,Light
1987-08-06,Beijing,22.074999999999996,19,1004.2750000000001,2.5,Light
1987-08-07,Beijing,23.425,0,998.2,3,Light
1987-08-08,Beijing,25.125,0,1002.7249999999999,2.5,Light
1987-08-09,Beijing,26.5,0,1007.1500000000001,4,Light
1987-08-10,Beijing,25.975,1,1010.4,4.5,Light
1987-08-11,Beijing,25.725,0,1014.4499999999999,3.5,Light
1987-08-12,Beijing,26.375,0,1013.8499999999999,3.5,Light
1987-08-13,Beijing,22.875,62,1012.8000000000001,3,Light
1987-08-14,Beijing,19.95,31,1010.375,1.5,Light
1987-08-15,Beijing,23.3,0,1006.375,3,Light
1987-08-16,Beijing,24.225,0,1005.525,3,Light
1987-08-17,Beijing,25.549999999999997,0.1,1006.925,4,Light
1987-08-18,Beijing,23.35,45,1006.825,4.5,Light
1987-08-19,Beijing,24.325,0.9,1003.4749999999999,2.5,Light
1987-08-20,Beijing,26.174999999999997,0,1003.85,1.5,Light
1987-08-21,Beijing,27.425,0,1006.025,4,Light
1987-08-22,Beijing,24.65,1,1007.2500000000001,3,Light
1987-08-23,Beijing,24.1,4,1004.9,4,Light
1987-08-24,Beijing,24.15,15.1,1003.575,3.5,Light
1987-08-25,Beijing,25.4,0.1,1003.625,1.5,Light
1987-08-26,Beijing,21.825000000000003,41,999.9499999999999,6.5,Light
1987-08-27,Beijing,25.4,0,996.8499999999999,4.5,Light
1987-08-28,Beijing,26.375,0,999.75,2.5,Light
1987-08-29,Beijing,25.1,0,1002.425,3.5,Light
1987-08-30,Beijing,24.03333333333333,0,1005.8666666666668,6.666666666666667,Light
1987-08-31,Beijing,24.175,0,1009.2,4,Light
1987-09-01,Beijing,24.55,0,1012.175,5.5,Light
1987-09-02,Beijing,24.775,1,1011.9,2.5,Light
1987-09-03,Beijing,20.2,11,1009.7,4,Light
1987-09-04,Beijing,22.975,2,1008.65,8,Light
1987-09-05,Beijing,21.849999999999998,3,1011.5,4.5,Light
1987-09-06,Beijing,18.5,10,1013.55,4,Light
1987-09-07,Beijing,20.299999999999997,0,1013.5250000000001,2.5,Light
1987-09-08,Beijing,21.65,0,1012.45,9,Light
1987-09-09,Beijing,21.949999999999996,0,1015.025,2,Light
1987-09-10,Beijing,23.225,0,1019.025,1,Light
1987-09-11,Beijing,23.549999999999997,0,1019.775,4.5,Light
1987-09-12,Beijing,23.075,0,1015.2750000000001,3.5,Light
1987-09-13,Beijing,23.700000000000003,0,1012.55,2.5,Light
1987-09-14,Beijing,23.2,2,1014.7666666666668,5.333333333333333,Light
1987-09-15,Beijing,19.924999999999997,0,1021.075,2,Light
1987-09-16,Beijing,18.9,0,1017.625,6.5,Light
1987-09-17,Beijing,21.025,0,1012.4000000000001,4,Light
1987-09-18,Beijing,22.424999999999997,0,1007.125,2,Light
1987-09-19,Beijing,24.35,0,1005.05,3.5,Light
1987-09-20,Beijing,22.650000000000002,0,1012.8,5,Light
1987-09-21,Beijing,20.500000000000004,0,1019.325,3,Light
1987-09-22,Beijing,22.075,0,1018.575,2.5,Light
1987-09-23,Beijing,22.550000000000004,2,1013.575,5,Light
1987-09-24,Beijing,17.549999999999997,4,1015.75,12,Moderate
1987-09-25,Beijing,16.175,0,1023.1500000000001,7.5,Light
1987-09-26,Beijing,16.849999999999998,0,1019.925,4.5,Light
1987-09-27,Beijing,18.474999999999998,0,1017.475,3,Light
1987-09-28,Beijing,16.325,0.2,1017.125,2,Light
1987-09-29,Beijing,17.75,0,1016.2,2,Light
1987-09-30,Beijing,18.875,0,1014.7,3.5,Light
1987-10-01,Beijing,20.625,0,1013.1999999999999,5,Light
1987-10-02,Beijing,19.1,0,1014.4749999999999,4,Light
1987-10-03,Beijing,21.125000000000004,0,1011.8249999999999,5,Light
1987-10-04,Beijing,20.375,0,1010.7750000000001,1.5,Light
1987-10-05,Beijing,19.75,0,1011.875,2,Light
1987-10-06,Beijing,19.325,0,1018.175,9,Light
1987-10-07,Beijing,17.075,0,1021.35,6.5,Light
1987-10-08,Beijing,16.5,0,1017.1999999999999,2,Light
1987-10-09,Beijing,18.025000000000002,0,1015.7,3,Light
1987-10-10,Beijing,18.9,0,1011.9499999999999,3.5,Light
1987-10-11,Beijing,17.8,0,1019.95,6.5,Light
1987-10-12,Beijing,15.825,0,1025.0749999999998,4.5,Light
1987-10-13,Beijing,13.975000000000001,0,1024.0749999999998,3,Light
1987-10-14,Beijing,13.166666666666666,0,1028.4333333333334,5.333333333333333,Light
1987-10-15,Beijing,11.575000000000001,0,1025.225,2.5,Light
1987-10-16,Beijing,10.65,0.2,1017.4000000000001,1,Light
1987-10-17,Beijing,15.725,0,1016.45,9,Light
1987-10-18,Beijing,10.725,0,1018.4250000000001,9.5,Light
1987-10-19,Beijing,5.8,0,1021.7999999999998,7.333333333333333,Light
1987-10-20,Beijing,8.325,0,1023.425,4,Light
1987-10-21,Beijing,9,0,1025.375,4.5,Light
1987-10-22,Beijing,8.549999999999999,0,1024.225,2,Light
1987-10-23,Beijing,9.775,0,1026.8,2,Light
1987-10-24,Beijing,9.950000000000001,0,1028.2,5,Light
1987-10-25,Beijing,10.025,0,1023.5999999999999,2,Light
1987-10-26,Beijing,9.525,0,1018.525,3,Light
1987-10-27,Beijing,12.600000000000001,0,1016.525,3,Light
1987-10-28,Beijing,12.575000000000001,0,1011.725,4,Light
1987-10-29,Beijing,11.924999999999999,0,1022.9000000000001,15,Moderate
1987-10-30,Beijing,7.1,0,1032.25,7.5,Light
NA,Beijing,2.8750000000000004,13,1031.575,1,Light
2015-05-01,Beijing,17.4625,9,1009.65,5.5,Light
2015-05-02,Beijing,20.025000000000002,0.1,1009.9375,3.75,Light
2015-05-03,Beijing,19.15,0,1015.5625,7.5,Light
2015-05-04,Beijing,18.5125,0,1011.1625,8,Light
2015-05-05,Beijing,21.0875,0,1006.4625,5.5,Light
2015-05-06,Beijing,17.075,0,1011.5124999999999,4,Light
2015-05-07,Beijing,18.762499999999996,0,1010.5124999999999,5.25,Light
2015-05-08,Beijing,18,0,1011.5499999999998,5,Light
2015-05-09,Beijing,13.025,0,1017.4375000000001,3.25,Light
2015-05-10,Beijing,9.737499999999999,24.1,1014.4249999999998,3.5,Light
2015-05-11,Beijing,14.312500000000002,0.1,1003.025,5.75,Light
2015-05-12,Beijing,18.85,0,994.2125,3.75,Light
2015-05-13,Beijing,24.55,0,996.8750000000001,5.75,Light
2015-05-14,Beijing,22.1625,0,1009.4125,4.5,Light
2015-05-15,Beijing,19.6,0,1014.2000000000002,6,Light
2015-05-16,Beijing,23.275000000000002,0,1006.2124999999999,7,Light
2015-05-17,Beijing,23.125,0.2,997.7375,4.5,Light
2015-05-18,Beijing,23.962500000000002,0.1,1003.1750000000001,6.75,Light
2015-05-19,Beijing,22.812500000000004,0,1010.25,8.25,Light
2015-05-20,Beijing,23.7,0,1014.3375,6.25,Light
2015-05-21,Beijing,22.2375,0,1010.925,8.75,Light
2015-05-22,Beijing,22.925000000000004,0,1008.65,3.75,Light
2015-05-23,Beijing,25.037499999999998,0,1007.4124999999999,4.25,Light
2015-05-24,Beijing,26.325,0,1005.4875,6.25,Light
2015-05-25,Beijing,27.125000000000004,0,1005.6625000000001,5.75,Light
2015-05-26,Beijing,27.1875,0,1005.0875,6.75,Light
2015-05-27,Beijing,26.325,0,1004.125,4.75,Light
2015-05-28,Beijing,25.5625,0,1004.05,4.25,Light
2015-05-29,Beijing,23.875,0.8,1006.0875000000001,3.5,Light
2015-05-30,Beijing,24.912499999999998,0,1005.6624999999999,6,Light
2015-05-31,Beijing,28,0,999.5125,6.25,Light
2015-06-01,Beijing,27.312499999999996,0,1001.8125,4.25,Light
2015-06-02,Beijing,26.150000000000002,0,1010.4499999999999,6.75,Light
2015-06-03,Beijing,26.575000000000003,0,1010.4625,5,Light
2015-06-04,Beijing,19.1625,5,1001.975,3.75,Light
2015-06-05,Beijing,25.425000000000004,0,998.5375,5.25,Light
2015-06-06,Beijing,22.412499999999998,0.7,1003.475,4,Light
2015-06-07,Beijing,21.112499999999997,0.1,1007.9874999999998,3,Light
2015-06-08,Beijing,24.6,0.3,1003.0625,3.5,Light
2015-06-09,Beijing,24.15,3,1000.9374999999999,6.5,Light
2015-06-10,Beijing,20.825,9.9,998.8,3.5,Light
2015-06-11,Beijing,23.675,5,997.0374999999999,7,Light
2015-06-12,Beijing,25.65,0,998.4875000000001,7.25,Light
2015-06-13,Beijing,23.075000000000003,0.4,1006.4375000000001,4.75,Light
2015-06-14,Beijing,26.612499999999997,0,1007.7750000000001,4.5,Light
2015-06-15,Beijing,26.8125,0,1005.2249999999999,4,Light
2015-06-16,Beijing,27.4625,0,1002.7625,4.5,Light
2015-06-17,Beijing,25.8625,12,1003.5375,3.25,Light
2015-06-18,Beijing,27.650000000000002,0,1005.6,4.75,Light
2015-06-19,Beijing,20.087500000000002,2.1,1011.2125000000001,4.25,Light
2015-06-20,Beijing,25.8625,0,1010.5124999999999,3.75,Light
2015-06-21,Beijing,27.1375,0,1006.825,4.5,Light
2015-06-22,Beijing,26.075000000000003,0.3,1005.7875,4.5,Light
2015-06-23,Beijing,27.237499999999997,0.3,1006.275,5.25,Light
2015-06-24,Beijing,24.5625,0,1004.4250000000001,3.75,Light
2015-06-25,Beijing,24.362499999999997,2,1000.3375,3.75,Light
2015-06-26,Beijing,24.237499999999997,6,1001.2249999999999,3.5,Light
2015-06-27,Beijing,26.075,0,1005.775,3.25,Light
2015-06-28,Beijing,27.787499999999998,0,1004.5875000000001,4.25,Light
2015-06-29,Beijing,21.937500000000004,0.1,1006.0374999999999,4.5,Light
2015-06-30,Beijing,21.9,1.2000000000000002,999.9625,5.75,Light
2015-07-01,Beijing,26.275000000000002,1,998.7625,4.75,Light
2015-07-02,Beijing,26.95,0,1003.4250000000001,4.25,Light
2015-07-03,Beijing,25.400000000000002,0,1008.8375000000001,3.75,Light
2015-07-04,Beijing,21.625,1,1009.575,2.75,Light
2015-07-05,Beijing,24.7125,0,1009.8375000000001,3.25,Light
2015-07-06,Beijing,26.1125,0,1009.825,4.5,Light
2015-07-07,Beijing,27.400000000000002,0,1008.7125000000001,5,Light
2015-07-08,Beijing,27.849999999999998,0,1010.6374999999999,4.75,Light
2015-07-09,Beijing,28.062500000000004,0,1012.0000000000001,4.75,Light
2015-07-10,Beijing,28.224999999999998,0,1009.325,5,Light
2015-07-11,Beijing,29.412499999999998,0,1005.35,3.75,Light
2015-07-12,Beijing,30.874999999999996,0,997.7,4.75,Light
2015-07-13,Beijing,32.4875,0.2,999.0125,4.25,Light
2015-07-14,Beijing,30.3875,0.30000000000000004,1003.45,3.5,Light
2015-07-15,Beijing,27.224999999999998,7,1006.0124999999999,5,Light
2015-07-16,Beijing,23.324999999999996,1,1007.2249999999999,5.75,Light
2015-07-17,Beijing,23.475,12,1006.425,4,Light
2015-07-18,Beijing,23.4,48.7,1006.4625,3,Light
2015-07-19,Beijing,24.0625,1.2000000000000002,1007.825,3.25,Light
2015-07-20,Beijing,26.075,0.8,1006.6375,3.75,Light
2015-07-21,Beijing,25.049999999999997,0,1004.5500000000001,3.25,Light
2015-07-22,Beijing,25.825,4,1004.0374999999998,3,Light
2015-07-23,Beijing,26.312500000000004,4,1002.9875000000001,3,Light
2015-07-24,Beijing,26.837500000000002,0,1001.0125,3,Light
2015-07-25,Beijing,28.549999999999997,0,1000.5000000000001,4.5,Light
2015-07-26,Beijing,29.999999999999996,0,1003.6625,3,Light
2015-07-27,Beijing,28.049999999999997,28,1003.6125,5,Light
2015-07-28,Beijing,27.750000000000004,0.4,1001.8999999999999,3,Light
2015-07-29,Beijing,27.8375,1,1001.1000000000001,3.75,Light
2015-07-30,Beijing,24.475,2.6,1005.5,4.75,Light
2015-07-31,Beijing,26.4625,0.2,1007.2124999999999,3.5,Light
2015-08-01,Beijing,24.950000000000003,32,1005.3625,2.75,Light
2015-08-02,Beijing,26.6125,0.6,1002.05,2.5,Light
2015-08-03,Beijing,24.612500000000004,0.2,1001.5875,3,Light
2015-08-04,Beijing,27.325000000000003,0,1001.1375,4,Light
2015-08-05,Beijing,27.0375,0,1003.3124999999999,4,Light
2015-08-06,Beijing,27.1375,0,1008.0125000000002,3.5,Light
2015-08-07,Beijing,24.5875,8,1012.8000000000001,4.25,Light
2015-08-08,Beijing,26.675,0.1,1011.875,4,Light
2015-08-09,Beijing,28.825,0,1009.9,3,Light
2015-08-10,Beijing,30.0375,0,1009.0000000000001,4.25,Light
2015-08-11,Beijing,29.312499999999996,0,1007.6125,3.25,Light
2015-08-12,Beijing,29.775,0,1005.2499999999999,5,Light
2015-08-13,Beijing,29.650000000000002,0,1002.625,5.25,Light
2015-08-14,Beijing,28.412499999999998,0,1003.4250000000001,3.25,Light
2015-08-15,Beijing,28.85,0,1004.95,4.25,Light
2015-08-16,Beijing,29.062500000000004,0,1004.9375,4,Light
2015-08-17,Beijing,28.762499999999996,0,1006.8999999999999,3.5,Light
2015-08-18,Beijing,25.125,0.3,1010.6125,5,Light
2015-08-19,Beijing,24.912500000000005,0.9,1010.35,3.5,Light
2015-08-20,Beijing,27.3625,0,1007.025,4.25,Light
2015-08-21,Beijing,28.175,0,1004.5375,4,Light
2015-08-22,Beijing,26.85,0,1006.1125,5.5,Light
2015-08-23,Beijing,23.35,2,1010,3.5,Light
2015-08-24,Beijing,25.362500000000004,0,1010.5500000000001,3,Light
2015-08-25,Beijing,25.725,0,1009.7125000000001,3.25,Light
2015-08-26,Beijing,26.862500000000004,0,1008.9875000000001,3.75,Light
2015-08-27,Beijing,26.8125,0,1008.7249999999999,3.75,Light
2015-08-28,Beijing,26.525000000000002,0,1007.4375,4,Light
2015-08-29,Beijing,25.7375,4,1009.2875,4.25,Light
2015-08-30,Beijing,21.162499999999998,26.400000000000002,1012.0625000000001,3.5,Light
2015-08-31,Beijing,20.5125,12.3,1012.675,3.5,Light
2015-09-01,Beijing,21.137499999999996,4.1,1012.9125,3.75,Light
2015-09-02,Beijing,25.1,0,1012.8625,3.5,Light
2015-09-03,Beijing,26.45,0,1013.6375,3.75,Light
2015-09-04,Beijing,20.4875,36,1011.35,4.25,Light
2015-09-05,Beijing,18.375,11.1,1011.6125,4.25,Light
2015-09-06,Beijing,22.275000000000002,0,1013.1249999999999,2.75,Light
2015-09-07,Beijing,23.3625,0,1013.575,3.5,Light
2015-09-08,Beijing,23.6,0,1015.6250000000001,2.75,Light
2015-09-09,Beijing,21.7375,0,1020.625,4,Light
2015-09-10,Beijing,15.8375,4.3,1020.1875,3.5,Light
2015-09-11,Beijing,18.2,6.3,1015.9375,4.75,Light
2015-09-12,Beijing,20,0,1016.8375,6,Light
2015-09-13,Beijing,22.55,0,1016.0500000000001,3.75,Light
2015-09-14,Beijing,20.8125,0,1019.3749999999999,2.75,Light
2015-09-15,Beijing,20.3875,0,1019,2.25,Light
2015-09-16,Beijing,21.55,0,1017.7875,3,Light
2015-09-17,Beijing,23.3,0.4,1016.4875000000001,3.75,Light
2015-09-18,Beijing,23.387500000000003,0.2,1016.8249999999999,2.75,Light
2015-09-19,Beijing,23.125,0,1015.8875000000002,3,Light
2015-09-20,Beijing,22.1875,0,1012.275,4.25,Light
2015-09-21,Beijing,23.05,0,1010.9375000000001,3.25,Light
2015-09-22,Beijing,20.6625,0,1009.325,4.5,Light
2015-09-23,Beijing,21.8375,0,1009.3000000000001,3,Light
2015-09-24,Beijing,20.075000000000003,4,1009.4499999999999,3.75,Light
2015-09-25,Beijing,19.3625,4,1012.0375,3.5,Light
2015-09-26,Beijing,21.0375,0,1013.2249999999999,4.25,Light
2015-09-27,Beijing,22.899999999999995,0,1015.725,3.5,Light
2015-09-28,Beijing,17.15,0.8,1025.325,3.25,Light
2015-09-29,Beijing,14.674999999999999,12,1027.9250000000002,2.75,Light
2015-09-30,Beijing,16.0625,8.1,1015.3999999999999,5,Light
2015-10-01,Beijing,16.075,3,1013.05,5.75,Light
2015-10-02,Beijing,19.437499999999996,0,1012.5749999999999,4.25,Light
2015-10-03,Beijing,18.625,0,1021.5625,4.5,Light
2015-10-04,Beijing,18.3625,0,1021.6625,2.75,Light
2015-10-05,Beijing,18.900000000000002,0,1017.4749999999999,2.25,Light
2015-10-06,Beijing,20.299999999999997,0,1015.6750000000001,2.25,Light
2015-10-07,Beijing,20.450000000000003,0,1015.7249999999999,5,Light
2015-10-08,Beijing,14.5,0,1017.475,5,Light
2015-10-09,Beijing,14.687499999999998,0,1012.3875000000002,7.25,Light
2015-10-10,Beijing,14.0125,0,1016.8124999999999,8,Light
2015-10-11,Beijing,17,0,1019.1249999999999,5.25,Light
2015-10-12,Beijing,17.2,0,1020.6250000000001,3,Light
2015-10-13,Beijing,18.787499999999998,0,1019.05,3,Light
2015-10-14,Beijing,16.5875,0,1017.175,3.75,Light
2015-10-15,Beijing,18.025000000000002,0,1017.1750000000001,2.5,Light
2015-10-16,Beijing,17.225,0,1017.4125,2.75,Light
2015-10-17,Beijing,17.7125,0,1018.7374999999998,3.5,Light
2015-10-18,Beijing,14.437500000000002,0,1023.7,3.25,Light
2015-10-19,Beijing,14.575,0,1015.875,3.25,Light
2015-10-20,Beijing,12.725000000000001,0.3,1018.9875,4.25,Light
2015-10-21,Beijing,9.85,2,1025.5125,2.5,Light
2015-10-22,Beijing,9.999999999999998,8.7,1022.975,2.25,Light
2015-10-23,Beijing,13.024999999999999,0,1018.3375,3.5,Light
2015-10-24,Beijing,13.937500000000002,0,1027.7125,3.25,Light
2015-10-25,Beijing,10.9875,5,1025.1375,3.5,Light
2015-10-26,Beijing,11.262500000000001,0.1,1017.875,6,Light
2015-10-27,Beijing,11.3375,0,1017.8999999999999,3.75,Light
2015-10-28,Beijing,11.037499999999998,0,1024.1000000000001,5.75,Light
2015-10-29,Beijing,8.049999999999999,0,1028.7749999999999,5.25,Light
2015-10-30,Beijing,7.625000000000001,0,1031.5875,3.25,Light
2015-10-31,Beijing,9.062499999999998,0,1029.325,2.5,Light
1987-05-01,Jacksonville,23.825000000000003,0,1015.625,6.375,Light
1987-05-02,Jacksonville,23.425,0,1014.6875,5.625,Light
1987-05-03,Jacksonville,21.71666666666667,0,1015.7999999999998,4.666666666666667,Light
1987-05-04,Jacksonville,24.4,0,1017.1,3.25,Light
1987-05-05,Jacksonville,21.062500000000004,0,1018.2875000000001,8.125,Light
1987-05-06,Jacksonville,20.075000000000003,0,1020.1125000000001,9.25,Light
1987-05-07,Jacksonville,19.475,0,1017.7375,3.75,Light
1987-05-08,Jacksonville,21.875,3.3,1015.3999999999999,3.625,Light
1987-05-09,Jacksonville,22.875,0,1018.5875,11.375,Moderate
1987-05-10,Jacksonville,19.8,0,1021.2,6.25,Light
1987-05-11,Jacksonville,21,0,1020.1875,5.625,Light
1987-05-12,Jacksonville,23.437499999999996,0,1017.8375,5.75,Light
1987-05-13,Jacksonville,23.075,12,1017.9375,6.875,Light
1987-05-14,Jacksonville,22.6625,0,1019.75,5.625,Light
1987-05-15,Jacksonville,23.150000000000002,7,1018.1500000000001,6.5,Light
1987-05-16,Jacksonville,23.1375,0,1017.5625000000001,4.875,Light
1987-05-17,Jacksonville,23.3625,0,1019.5125,5.375,Light
1987-05-18,Jacksonville,23.85,0,1019.2625,5.5,Light
1987-05-19,Jacksonville,24.185714285714287,0,1017.5285714285714,4.714285714285714,Light
1987-05-20,Jacksonville,23.74285714285714,0,1017.3142857142858,2.5714285714285716,Light
1987-05-21,Jacksonville,25.757142857142856,0,1017.8142857142858,4.571428571428571,Light
1987-05-22,Jacksonville,24.085714285714285,0,1020.6142857142858,6.571428571428571,Light
1987-05-23,Jacksonville,22.8,0,1021.2857142857143,4.285714285714286,Light
1987-05-24,Jacksonville,23.2,0,1020.5571428571428,4.714285714285714,Light
1987-05-25,Jacksonville,23.542857142857144,0,1020.2142857142857,4.142857142857143,Light
1987-05-26,Jacksonville,22.185714285714283,0,1020.9571428571428,5.571428571428571,Light
1987-05-27,Jacksonville,22.737499999999997,0,1021.7375,5.75,Light
1987-05-28,Jacksonville,24.312500000000004,0,1021.5999999999999,6.125,Light
1987-05-29,Jacksonville,24.3125,0.5,1020.75,7.75,Light
1987-05-30,Jacksonville,24.025000000000002,0,1019.8125000000001,7.125,Light
1987-05-31,Jacksonville,23.700000000000003,0,1019.2875,5.625,Light
1987-06-01,Jacksonville,25.633333333333336,0,1019.4833333333332,3,Light
1987-06-02,Jacksonville,27.299999999999997,0,1018.6375,4.5,Light
1987-06-03,Jacksonville,27.862499999999997,0,1018.6625,5.5,Light
1987-06-04,Jacksonville,27.242857142857137,0,1017.5714285714286,4.428571428571429,Light
1987-06-05,Jacksonville,25.74285714285714,0,1017.6142857142859,17.125,Fresh
